#,Authors,Title,File Submission,submission type,Time,Abstract
267,Zhiyong Dong and Peter Búš,"(CI) Embodied Collective Robotic Collaboration for
Architecture",✔,‘Catalytic Interfaces’ Proposal,"Oct 03, 16:31","Integrating robotics in architecture greatly enhances the
efficiency of design-to-production workflows, particularly
in complex projects requiring precision, speed, and
flexibility (Gramazio et al., 2014). With advancements in
technologies such as artificial intelligence (AI), computer
vision, and environmental sensors, robots are becoming
increasingly capable of performing tasks with strong
embodiment, simulating human-like decision-making and
physical presence in the environment. This research
intention explores the role of robots in architectural
assembly, focusing on their ability to understand and
execute complex construction tasks autonomously. The
central aim is to address robots’ understanding of various
components' hierarchies and complexities and to propose a
strategy for structurally sound assembly utilizing visual
recognition and environmental sensing. This study aims to
answer the key research question: Through robotic
embodiment in production space exploration, is the robot
capable of autonomously understanding and applying design
criteria and structural requirements? Is the assembly
scenario a consequence and a representation of a designer’s
intention, or does it belong to a unique robot’s autonomous
decision?

A practical implementation of this study is on using UR10
robotic arms to autonomously assemble architectural
structures, however not in a single task execution, but to
provide the robots their production space to be explored,
decided on the explored conditions and executed following
their decisions on the spot, during the process itself. The
UR10, a versatile industrial robotic arm, is widely used in
various industries due to its precision, flexibility, and
ease of programming. This collaborative initiative takes
the assembly of a spatial structure as a case study. The
robot is tasked with autonomously detecting irregularly
placed objects, generating an assembly plan based on the
detected components, and creating motion paths for the
automatic assembly of a wooden spatial structure out of the
pre-defined custom-shaped building blocks. The UR10 robotic
arm, through its integration with advanced sensors and AI,
makes autonomous decisions during the assembly process,
considering different hierarchies of the components to
maintain continuous structural stability.

This study will expand by incorporating two or more UR10
robotic arms to explore collaborative robotics in
architectural design and production while the robots are
aware of each other to avoid any collisions. The use of
multiple robotic arms will enable more complex and
efficient workflows, where robots can operate in
coordination, either working on different aspects of the
same structure or performing parallel tasks. This level of
coordination requires advanced communication protocols and
synchronization algorithms to ensure that the robots work
harmoniously without collisions or errors. In a
multi-robotic arm setup, one robot could be responsible for
the placement of components while another robot handles the
structural reinforcement, ensuring a seamless and faster
construction process. Collaborative robotic systems offer
significant potential for scaling architectural projects,
enabling robots to work together to create large, intricate
structures with minimal human intervention when the robot
possesses intelligence, according to which makes its
decisions for certain task execution.

Methodological approach

This study encompasses key technologies in enabling the
UR10 robotic arms to execute construction tasks
autonomously. These include computer vision techniques such
as OpenCV (Mahamkali & Ayyasamy, 2015) and convolutional
neural networks (CNNs) (Alzubaidi et al., 2021), which
allows the robots to recognize, differentiate, and
understand the relationships between various objects in the
assembly process. Computer vision plays a critical role in
detecting objects in real-time, allowing the robot to
adjust its movements based on environmental factors, the
components' orientation, and their structural logic. The
UR10’s vision system enables it to adapt to irregularly
placed or unexpected objects, ensuring it can make
real-time adjustments to its assembly plan.

Additionally, the transmission of architectural data
throughout the process is outlined, utilizing ArUco markers
(OpenCV, 2024) to assist in mapping between the camera view
and digital space. ArUco markers provide a reliable method
for identifying and localizing objects in the workspace,
helping the robot to understand its environment and plan
its actions accordingly. These markers create a bridge
between the physical world and the digital twin —an
integrated representation of the physical world (Jiang et
al., 2024).

A digital twin of the real-world environment is established
in a 3D space, where the robots’ motion paths are
automatically generated based on the components detected in
the environment. This digital twin serves as a simulation
space where potential assembly sequences can be tested and
optimized computationally while being executed in the
physical space. The process of physical decisions during
the execution task is reflected in the digital twin; the
decision processes are modified in real-time, and the
physical robot is informed and constantly updated with its
digital twin and executes the assembly.
Evaluation
The workflow will be evaluated based on several key
performance metrics, including the success rate of object
grasping, the accuracy of the robot’s movements, and the
structural stability of the final assembly. These metrics
provide insights into the effectiveness of visual guidance
and the overall reliability of the robotic system in
performing complex architectural tasks. Early results
suggest that visual guidance significantly improves the
robot’s ability to localize and interact with objects in
the environment, addressing common challenges in robotic
construction such as misalignment or incorrect placement of
components.

Benefits and Prospective Impact
The use of embodied robots, such as the UR10, represents a
paradigm shift in architectural design and production.
Embodied robots will bring intelligence and autonomy to
construction processes, reducing the need for direct human
oversight and intervention. The flexibility and
adaptability of embodied robots also make them well-suited
for projects that require customization or rapid iteration
during the execution process, as they can quickly adapt to
new designs and instructions without significant
reprogramming.
In the context of intelligent buildings; robotics offers
tremendous value by automating the construction phase and
ongoing maintenance and modifications. Buildings that
incorporate robotics during their construction can be
designed with future robotic interventions in mind,
enabling dynamic changes to the structure or environment
over time. This adaptability is especially valuable in
urban environments with limited space, and buildings need
to evolve to meet changing demands. Robotic systems,
combined with AI and sensor networks, can also monitoring
the building’s structural integrity over its lifespan, and
automatically repairing or reinforcing areas that show wear
and tear.

Conclusion
The study examines how visual recognition, environmental
sensing, and intelligent robotic embodiment contribute to
more intelligent architectural design and production in an
informing design-to-execution loop. Future research will
continue to explore the potential of more advanced
multi-robot collaboration and the application of embodied
robots in complex architectural scenarios, to create more
efficient, flexible, and intelligent design-to-production
workflows."
275,Jingyang Liu,"Programmable Thick Kirigami: A Computational Framework for
the Design and Fabrication of Non-Zero Thickness Kirigami
Structures",✔,Regular Paper,"Oct 04, 08:11","This paper introduces a novel computational framework for
the design and fabrication of thick-panel kirigami
structures. Kirigami—derived from kiri (cutting) and gami
(folding)—leverages strategically placed cuts and folds on
a two-dimensional (2D) sheet material to create
three-dimensional (3D) structures. The introduction of
these cuts significantly enhances geometric flexibility,
allowing for the construction of a broader range of 3D
geometries that cannot be achieved through folding alone.
In the literature, so far, most studies focus on
theoretical models assuming the kirigami structure is made
of flat sheets with zero thickness. However, in real-world
applications,  particularly in the architecture,
engineering, and construction (AEC) domain,  the thickness
of surface panels is not always negligible. Informed by
this gap, this paper presents a systematic computational
framework for the design, simulation, and fabrication of
thick-panel kirigami structures. The framework builds on a
theoretical model that predicts the kinematics and
constitutive behavior of both 2D and 3D thick kirigami
structures.  The model is validated through both numerical
simulations and physical prototyping, with demonstrations
of applications in deployable structures. The computational
toolkit for thick kirigami engineering presented in this
paper will pave the road for the design of flexible,
adaptive, and efficient deployable structures that can be
customizable and scalable across multiple applications."
276,"Han Jin, Hao Wang and Ruifeng Tian","Augmented Scale Perception: Exploring a Full-Scale
Architectural Education Approach Based on MAR",✔,Regular Paper,"Oct 04, 08:13","Scale perception training is a crucial part in the early
stage of architectural education. However, desktop-based
modeling (DBM), which is widely used by architectural
students today, lacks references to real-world objects.
Mobile Augmented Reality (MAR), on the other hand, utilizes
full-scale models and offers the possibility of
experiencing 1:1 space through lightweight mobile devices.
This may present an advantage in scale perception
education. To explore the effectiveness of MAR in
architectural scale perception education, particularly in
comparison with DBM, a field perception-virtual
reconstruction comparative experiment is conducted. The
experiment compares students' performance in reconstructing
the portico of the architectural department building by
adjusting the model's size on a laptop (DBM) and on a
tablet (MAR) after observing the portico on site.
The results show that the advantages of MAR over DBM in
scale perception education depend on the scale of the
parts. MAR demonstrates significant advantages for
medium-scale parts, moderate advantages for large-scale
parts, and no advantage for small-scale parts. Subjective
questionnaires reveal that students express a high level of
satisfaction with MAR in scale perception education,
although they believe the experience still requires
optimization. Finally, the MAR full-scale design approach
is applied to a house design assignment, which involves
numerous medium-scale parts, resulting in high satisfaction."
278,"Frederick Peter Ortner, Sezgi Yalcinkaya Hamarat, Chewon
Han, Simon Perrault, Mei Chee Tan, Wei Lek Kwan, Kai Zheng
and Praveen Govindarajan","Sustainable Social Building Assistant (SSoBA): Transforming
Energy Use via Digital Twins, Environmental Sensing and
Occupant Behaviour Change",✔,Regular Paper,"Oct 04, 10:16","Reduction of building energy consumption is an urgent
priority in the effort to eliminate greenhouse gas (GHG)
emissions and mitigate the effects of the climate crisis.
Improvements in building operations are crucial to reducing
building energy use, and intelligent building systems
increasingly provide centralised real-time energy
evaluation and optimisation in support of this goal.
Centralised building management systems (BMS), however, are
poorly suited to user-controlled buildings where occupants
are enabled to determine ventilation and temperature levels
in an effort to improve comfort and well-being. Building
digital twins, if user-friendly and accessible, can help
non-expert occupants understand building functions and
unseen environmental factors and support them to improve
building energy efficiency. This paper shares results of
the design development and test-bedding of a building’s
digital twin system, the Sustainable Social Building
Assistant (SSoBA), created for use by non-expert building
occupants. To evaluate SSoBA, a six-week field study was
conducted in a university living lab: three weeks without
interface interaction (baseline) and three weeks with
access to SSoBA visualizations and nudges.
The Design Science Research (DSR) method was implemented to
respond to the research question: ‘What design elements and
functions must be advanced to a building’s digital twin
system to effectively engage occupants in modifying their
behavior to support sustainable operations?’ A detailed
analysis of design element prototypes permitted an
interrogation of the hierarchical and functional
relationship between the presentation of spatial
information in the form of maps and building 3D models, and
the temporal data representing building function,
environmental data, and social relationships among
occupants. While more testing is required, preliminary
results comparing user behaviours before and after use of
the SSoBA interface reveal promising improvements in energy
efficiency. On the basis of the presented results,
recommendations are made for future work in the area of
building digital twins and sustainable behavior change for
the built environment."
279,Yang Li and Rudi Stouffs,"The Representation of Representation in Computational
Design: A Case Study of the Bank of China Tower in Hong Kong",✔,Regular Paper,"Oct 04, 11:22","This research presents a novel meta-representational
approach in computational design by analyzing the massing
logic of the Bank of China Tower in Hong Kong. The study
transitions from an unconventional representational
strategy to a conventional pattern-based form. Existing
computational meta-representational frameworks, such as
parametric design (Woodbury, 2010) and shape grammar
(Stiny, 2006), rely on constraint-based and rule-based
methodologies, which often constrain flexibility and
universality in diverse design contexts. In response, this
study introduces the concept of ""representation of
representation"" as a new meta-representational approach,
which decodes existing design patterns and offers
alternative solutions for broader application in design
processes.

The changes of representation (Korf, 1980) offer new
perspectives for analyzing design solutions. This research
aims to demonstrate that the massing form of the tower can
be conceptualized as a transformable pattern (Grabow,
1983). This pattern functions as a generative device for
exploring new design spaces (Woodbury and Burrow 2006).

This study utilizes graph-based and topological operations
(Li and Stouffs, 2023) to construct a pattern-based
representation of the tower's massing. The methodology
emphasizes both the objectification of patterns into forms
as references and the abstraction of forms into patterns as
controlling frameworks. This approach conceptualizes
connectivity between objects as a pattern, where the
objects themselves subsequently evolve into patterns
(Grabow, 1983).

Example:
surface - point - surface
objects - pattern - objects
reference - connectivity- objects

The final design artifact is not a direct result of the
initial stages. Thus, it is essential to understand how
intermediate representations evolve over time, shaping the
design process and informing the final outcome.

Korf, Richard E. 1980. “Toward a Model of Representation
Changes.” Artificial Intelligence 14 (1): 41–78.
https://doi.org/10.1016/0004-3702(80)90033-8.

Li, Yang, and Rudi Stouffs. 2023. “Topological Operations:
A New Method Toward Retrievable Design Operations.” In
Computer-Aided Architectural Design. INTERCONNECTIONS:
Co-Computing Beyond Boundaries, edited by Michela Turrin,
Charalampos Andriotis, and Azarakhsh Rafiee, 1819:579–93.
Cham: Springer Nature Switzerland.
https://doi.org/10.1007/978-3-031-37189-9_38.

Stiny, George. 2006. Shape: Talking about Seeing and Doing.
Cambridge, Mass: MIT Press.

Woodbury, Robert. 2010. Elements of Parametric Design.
London ; New York, NY: Routledge.

Woodbury, Robert F., and Andrew L. Burrow. 2006. “Whither
Design Space?” Artificial Intelligence for Engineering
Design, Analysis and Manufacturing 20 (2): 63–82.
https://doi.org/10.1017/S0890060406060057.

Grabow, Stephen. 1983. Christopher Alexander: The Search
for a New Paradigm in Architecture. Stocksfield ; Boston:
Oriel Press."
283,"Tarciana Andrade, José Beirão, Arruda Amilton and Paulo
Carvalho","Bimetal Biomodules: Prototype Evaluation of Kinetic Façades
in Response to Environmental Temperature Variations",✔,Regular Paper,"Oct 04, 15:54","Coordinating construction with solar exposure and shading
systems is fundamental for planning sustainable
architectural solutions. The Bimetal Biomodule design
proposes a kinetic module bioinspired by the grass
Ammophila arenaria, which has leaf grooves that help
control the reversible movement of the plant. We chose the
smart material, bimetal, that responds to thermal variation
and bends when heated to replicate the behavior. Regarding
leaf morphology, we applied creases to the active layer of
the bimetal. The creases contribute to the opening of the
material when the temperature rises and to its closing when
it cools down (opposite movement of the material without
the creased surface). We developed prototypes of the
modules using laser cutting and crease stamping with a
3D-printed matrix. An experiment in an open and relevant
environment in Lisbon, with high daily temperature
variations, involved exposing five samples to solar
incidence over three days (in summer, fall, and during a
heat wave). Statistical treatment of the data identified
equations that explain at least 73.2% of the overall
behavior of the modules at environment temperatures ranging
from 15.6 to 49.3ºC, proving that they are adaptable to
different climate conditions. The computational algorithm
integrates the equations, generates parametric variations,
and simulates protection by solar incidence. Innovation
lies in the creases; relevance in controlling the bimetals
behavior, enabling the biomodules reversible movement
without needing electrical or mechanical devices. A
full-scale model allowed for wishful thinking the premises
put into the conceptual model. The solution has the
potential to contribute to the energy efficiency of
buildings."
287,"Hyoung-June Park, Yasushi Ishida and Zachary Ikaika
Bantolina","Unveiling Pāwehe: Revitalizing Hawaiian Identity Through
Architectural Façades",✔,Regular Paper,"Oct 04, 20:29","This research addresses the growing need to incorporate
Indigenous Hawaiian values into contemporary architecture,
aligning with the broader movement to reinterpret Hawaiian
vernacular architecture. Inspired by the works of
architects like Hart Wood and Vladimir Ossipoff (Hibbard et
al., 2010), this study focuses on integrating traditional
Hawaiian patterns into building façades using computational
design for visual comfort and performance analysis.

The project emphasizes the art form of Pāwehe, a geometric
motif representing Hawaiian stories and identity (Buck,
1957). Guided by a Native Hawaiian architectural-cultural
specialist, the study carefully examines these motifs,
ensuring their authenticity and relevance in modern
architecture. The IBM Building in Honolulu, designed by
Ossipoff, was selected for the façade redesign, symbolizing
a blend of cultural heritage and modern architectural
innovation.

The motifs undergo hierarchical deconstruction into
symbolic elements and are translated into computational
rules for three-dimensional design (Lee et al., 2013). By
treating the geometric properties of the motifs as
variables, dynamic façade components are created to
optimize both aesthetic and environmental performance
(Narangerel et al., 2017; Rezakhani and Kim, 2024). This
process uses multi-objective optimization tools, including
Wallacei and Ladybug, to refine design alternatives.

The resulting façade design prototypes were applied to the
IBM Building and compared with its existing structure. The
findings demonstrate the practical and cultural value of
incorporating Hawaiian motifs into architectural
applications, offering new possibilities for culturally
resonant and sustainable architectural practices. Through
this approach, the research contributes to the ongoing
evolution of contemporary Hawaiian architecture."
292,"Weam Numan, Yuval Kahlon and Haruyuki Fujii","The Gap: Where users become architects Observing the use of
virtual architecture as a communication medium towards
informing architectural design in virtual space.",✔,Regular Paper,"Oct 05, 03:22","A current trend in architectural design is the integration
of VR technology in the process of design
prototyping[1][2]. As VR enables users to experience space
before their embodiment in physical form, the technology is
used for studying their responses to design alternatives -
a practice which presupposes similarity between the
response of users in physical and virtual spaces.
Questioning this assumption, we explore the disparity
between user behavior in virtual architectural spaces (VAS)
and physical architectural space (PAS) and whether
immersive experiences accurately predict users’
interactions in the real-world. By employing a framework
for modeling how agents understand and act in the world
(Belief-Desire-Intention)[3], we analyze user responses
during gameplay within a controlled IVE, focusing on
interaction with and modification of the environment. Our
findings reveal that users adopt a distinct form of
constructional creativity[4] induced by the perceived lack
of constraints in IVEs[5], where users perceive gaps in the
design, utilizing the virtual architecture as a responsive
interface to correct them. This highlights the limitations
of traditional design methods for predicting behavior in
IVEs. We propose a framework that situates the “Gap” as a
critical component of virtual environments. The extraction
of this element enables architects to leverage data
collected in IVEs for more responsive, user-centered design
practices. By advancing understanding of user experiences
in IVES, this research enhances the potential for dynamic
architectural creation while advocating for a new CAAD
paradigm that considers the unique characteristics of IVEs
and the impact of their application on architectural
environment design.

References

[1] M.J. Kim, X. Wang, P.E. Love, H. Li, S.-C. Kang. (2013)
Virtual reality for the built environment: a critical
review of recent advances. Journal of Information
Technology in Construction, pp. 279-305.

[2] Camburn, B., Viswanathan, V., Linsey, J., Anderson, D.,
Jensen, D., Crawford, R.,
et al. (2017). Design prototyping methods: state of the art
in strategies, techniques, and guidelines. Des. Sci. 3, E13.

[3] Bratman, M. E. (1987) Intention, Plans, and Action,
Harvard University Press.

[4] Hii J. (2003) Actions of Architecture: Architects and
Creative Users. (1st ed.). Routledge. p. 86.

[5] Kien, G. (2009). Virtual environment: the machine is
our world. learning, and support in virtual environments.
Sense Publishers, Rotterdam, pp. 9-22."
297,Gizem Karaoğlu Çitken and Asena Kumsal Şen Bayram,"A Daylight Optimisation Framework on Building Envelopes
Design",✔,Regular Paper,"Oct 05, 11:09","Most interactions between the indoor and outdoor
environments occur in building envelopes fenestrations.
Therefore, it is essential to have an efficient window
shading system that maintains appropriate visual comfort by
minimizing glare and supplying adequate amounts of
illumination. It is important to make effective use of
natural light in sustainable architectural applications. In
this con-text, vernacular building elements made of
different materials such as mashrabiya and breeze block
respond to parameters such as privacy, thermal comfort and
daylighting performance. The aim of this research is to
propose a design algo-rithm that optimises daylighting
performance by incorporating vernacular build-ing elements
into building envelope design. The mashrabiya and breeze
block patterns commonly used in Türkiye were studied in
detail and square, circular and hexagonal patterns were
included in the scope of the research. These patterns were
analysed in two different sizes, 20x20 cm. and 5x5 cm.
openings. In the simulation model prepared using Rhino,
Grasshopper and Ladybug interfaces, the daylight autonomy
parameter was investigated according to three different
climate types in Turkey, which are Istanbul, Adana and
Erzurum provinces. The results of the research show that
small perforated panels give better results in hot
climates, while large openings are more efficient in
regions with low temperature variations throughout the
year. In cold climates, square geometries were found to
perform better than other geometries. Developing an
algorithmic framework that can provide recommendations for
missing inputs based on given pattern, location and size
inputs is the main objective of this research."
298,"Adii Shtykov, Ning Gu, Helen Barrie, Veronica Soebarto and
David Kroll","Evaluating Industry Perceptions of a Digital Twin-Enabled
Tool for Real-Time Environmental and Occupant-Centric
Building Performance in an Urban Mixed-Use Development",✔,Regular Paper,"Oct 05, 13:08","Capturing real-time occupant-centric data is essential in
building performance evaluation. Traditional post-occupancy
evaluations rely on retrospective surveys, often leading to
incomplete assessments of environmental impacts on occupant
well-being. The COVID-19 pandemic has further emphasised
the need for dynamic, real-time evaluation methods.
This study evaluates the usability, visualisation
effectiveness, and adoption potential of a digital
twin-enabled tool for integrating real-time environmental
and occupant-centred data into building performance
analysis. The tool was demonstrated in a series of industry
workshops involving architects, facility managers, and
property developers across Australia, the UK, and Malaysia.
A mixed-methods approach was used, combining quantitative
survey data and qualitative interviews to assess
familiarity with digital tools, ease of use, and
visualisation capabilities, along with barriers to adoption.
Findings indicate that familiarity with BIM and structured
data workflows in-fluenced usability, with architects and
facility managers rating the tool high-er. UK and
Australian participants showed strong adoption potential
than Malaysian participants, reflecting regional
differences in practice. While vis-ualisation capabilities
were well received, concerns about privacy, security, and
cost feasibility emerged.
This study provides practical insights into the
opportunities and challenges of implementing digital twin
solutions in building performance evaluation, showcasing
its potential for real-time, evidence-based decision-making."
299,"Chuheng Tan, Shaopo Huang, Quan Zhou and Haipeng Zhong","Computing Urban Tissue: Landslide Mitigation Strategy of
Urban Infrastructure Design",✔,Regular Paper,"Oct 05, 13:21","Landslides are a major threat in mountainous regions,
causing severe dam-age and affecting over 8,000 people in
Malong District, Yunnan Province, over the past 20 years.
To mitigate these impacts, urban infrastructure
de-velopment is crucial, with effective prevention measures
like land use re-planning, slope stabilization, drainage
systems, and farmland patterning aimed at reducing
landslide occurrences. However, most current studies fo-cus
narrowly on slope engineering without addressing the need
for a com-prehensive approach that balances protection,
development, and the integra-tion of vernacular building
elements. This study presents an automated ur-ban
infrastructure design and optimization system to mitigate
landslide im-pacts, using Malong District, Yunnan Province,
as a case study. It integrates a Multi-Objective
Evolutionary Algorithm (MOEA), Geographic Infor-mation
System (GIS), and Rigid Body Dynamics (RBD) within Houdini,
forming a comprehensive workflow for urban planning in
landslide-prone areas."
304,"Lei Li, Yixin Hao and Runjia Tian","Zero-Shot Architectural Style Classification with Large
Language Models",✔,Regular Paper,"Oct 05, 16:33","Accurate architectural style classification is essential
for integrating historical and contemporary design elements
and for educational purposes. Traditional methods often
struggle with complex styles due to intricate details and
inter-style relationships. This study introduces a novel
application of Large Language Models (LLMs), specifically
Vision Language Models (VLMs), for architectural style
classification. VLMs, with their extensive pre-trained
datasets and generalization capabilities, show significant
promise in zero-shot learning scenarios, classifying styles
without prior specialized training on architectural images.
We explore the effectiveness of state-of-the-art VLMs like
GPT-4o in this domain, demonstrating their potential to
match or exceed traditional CNN models without extensive
training (Wu et al., 2024).

The study employs a dataset from Wikipedia's ""Architecture
by style"" entries, featuring nearly 5,000 high-resolution
images across various styles, from ""American Craftsman"" to
""Gothic."" Two classification tasks are conducted: a
10-class task with distinct styles and a 25-class task with
subtle differences.

We assess GPT-4o using four methods:
1. GPT4o-Vision-DIRECT: Direct classification with a simple
prompt.
2. GPT4o-Vision-TAGS-ONLY: Classification guided by
descriptive tags generated from image features.
3. GPT4o-Vision-PIC+TAGS: Combining the image with
descriptive tags for nuanced analysis.
4. GPT4o-Vision-PIC+TAGS+REASON: Adding detailed
explanations for classification decisions.

Experiments show that GPT-4o, particularly in the
GPT4o-Vision-PIC+TAGS configuration, achieves the highest
accuracy: 86.15% for the 10-class task and 63.44% for the
25-class task. GPT-4o outperforms traditional methods and
other LLMs like Qwen-VL and Claude-3, demonstrating
superior accuracy and generalization. The model excels with
distinctive styles but struggles with similar ones,
suggesting areas for improvement.

This study demonstrates GPT-4o's potential in zero-shot
architectural style classification, offering a
resource-efficient and accurate alternative to traditional
models. Future work will expand the dataset and improve
model interpretability and computational efficiency,
enhancing the model's capabilities.

References
Llamas, Jose, Pedro M. Lerones, Roberto Medina, Eduardo
Zalama, and Jaime Gómez-García-Bermejo. 2017.
“Classification of Architectural Heritage Images Using Deep
Learning Techniques.” Applied Sciences 7 (10): 992.
https://doi.org/10.3390/app7100992.

Wu, Wenhao, Huanjin Yao, Mengxi Zhang, Yuxin Song, Wanli
Ouyang, and Jingdong Wang. 2024. “GPT4Vis: What Can GPT-4
Do for Zero-Shot Visual Recognition?” arXiv.
http://arxiv.org/abs/2311.15732.

Xu, Zhe, Dacheng Tao, Ya Zhang, Junjie Wu, and Ah Chung
Tsoi. 2014. “Architectural Style Classification Using
Multinomial Latent Logistic Regression.” In Computer Vision
– ECCV 2014, edited by David Fleet, Tomas Pajdla, Bernt
Schiele, and Tinne Tuytelaars, 8689:600–615. Lecture Notes
in Computer Science. Cham: Springer International
Publishing. https://doi.org/10.1007/978-3-319-10590-1_39.

Yoshimura, Yuji, Bill Cai, Zhoutong Wang, and Carlo Ratti.
2019. “Deep Learning Architect: Classification for
Architectural Design Through the Eye of Artificial
Intelligence.” In Computational Urban Planning and
Management for Smart Cities, edited by Stan Geertman,
Qingming Zhan, Andrew Allan, and Christopher Pettit,
249–65. Lecture Notes in Geoinformation and Cartography.
Cham: Springer International Publishing.
https://doi.org/10.1007/978-3-030-19424-6_14.

Zhao, Peipei, Qiguang Miao, Jianfeng Song, Yutao Qi, Ruyi
Liu, and Daohui Ge. 2018. “Architectural Style
Classification Based on Feature Extraction Module.” IEEE
Access 6:52598–606.
https://doi.org/10.1109/ACCESS.2018.2869976."
